n0	rho	mt	ms	pve	Parameter	N	Bias	ModelVar	EmpiricalVar
1000	0	0	0	0	b.biv	2000	0.000307202849120471	0.00156413289967351	0.00160729038897109
1000	0	0	0	0	b.uni	2000	0.000307202849120471	0.00156255902652855	0.00160729038897109
1000	0	0	0	0	a	2000	0.000487525608241553	0.0015741094397219	0.00154749169397872
1000	0	0	0	0	S11	2000	1.00041504328776	0.00200484160860931	0.00138281090848126
1000	0	0	0	0	S12	2000	0.00140816921168677	0.00100796739175546	0.000759860438722567
1000	0	0	0	0	S22	2000	1.00688037999722	0.00203175092344837	0.00195428788503501
1000	25	0	0	0	b.biv	2000	0.000783414883020747	0.00156201177065843	0.00154273051418297
1000	25	0	0	0	b.uni	2000	0.000783414883020748	0.001560539252864	0.00154273051418297
1000	25	0	0	0	a	2000	0.00048748186396155	0.00156007641421806	0.00163680789673057
1000	25	0	0	0	S11	2000	1.00069354191359	0.00200678367116043	0.00184064761973662
1000	25	0	0	0	S12	2000	0.250805424445485	0.00106450581249964	0.000999824092457463
1000	25	0	0	0	S22	2000	0.999475561416137	0.00200155422949128	0.00174508362535689
1000	50	0	0	0	b.biv	2000	-0.000943401716717971	0.00157264290284504	0.00150796586557972
1000	50	0	0	0	b.uni	2000	-0.000943401716717971	0.00157145519989401	0.00150796586557972
1000	50	0	0	0	a	2000	-0.00146963663819834	0.0015538188216918	0.00153363059878273
1000	50	0	0	0	S11	2000	1.00567757744313	0.00202726394760158	0.00204576057561942
1000	50	0	0	0	S12	2000	0.499188353352391	0.00125038027396504	0.00111518627268432
1000	50	0	0	0	S22	2000	0.993699620906257	0.00197892414752265	0.00187984712059043
1000	75	0	0	0	b.biv	2000	-0.000355379187428682	0.00155981717712994	0.00168400876166844
1000	75	0	0	0	b.uni	2000	-0.000355379187428682	0.00155912872761282	0.00168400876166844
1000	75	0	0	0	a	2000	-0.000597556777679393	0.0015693339983719	0.00168061371956782
1000	75	0	0	0	S11	2000	0.996461579891515	0.00198929106900006	0.00153568799813026
1000	75	0	0	0	S12	2000	0.74883831675353	0.00156215936817073	0.00122475219732852
1000	75	0	0	0	S22	2000	1.00256143761946	0.00201396173651687	0.00166657533983292
1000	0	25	0	0	b.biv	2000	0.000578111509282202	0.00155699626779112	0.00164283540528841
1000	0	25	0	0	b.uni	2000	0.000587266011454489	0.00155588122325904	0.00164168949339876
1000	0	25	0	0	a	2000	0.000676281570272094	0.00115744316729719	0.0011652009738198
1000	0	25	0	0	S11	2000	1.00466055407636	0.00202267533846848	0.00176092339207791
1000	0	25	0	0	S12	2000	-0.00298381907995289	0.0010033711544765	0.00104040722411555
1000	0	25	0	0	S22	2000	0.997969346923433	0.00149533517682247	0.00132140330620175
1000	25	25	0	0	b.biv	2000	-0.000704267396640756	0.00153511260899963	0.00157106193247377
1000	25	25	0	0	b.uni	2000	-0.000797374569712328	0.0015588440938072	0.00162882058654761
1000	25	25	0	0	a	2000	-0.000448220528589492	0.00116342010588719	0.00116134265920923
1000	25	25	0	0	S11	2000	1.00328901860922	0.0020153707655988	0.00199431215770145
1000	25	25	0	0	S12	2000	0.251142309976237	0.00103671947020261	0.0010692863968759
1000	25	25	0	0	S22	2000	1.00114630983842	0.00150497756559766	0.00144359836516609
1000	50	25	0	0	b.biv	2000	0.000883201609424263	0.00145893277687562	0.0014205348766658
1000	50	25	0	0	b.uni	2000	0.000763374169521512	0.00155537509546723	0.00152732517752316
1000	50	25	0	0	a	2000	-0.000340604129009497	0.00115875000513531	0.00114785467465036
1000	50	25	0	0	S11	2000	1.00441967248921	0.0019894001822403	0.00174695162802078
1000	50	25	0	0	S12	2000	0.500176925218702	0.00112947465907293	0.000960053754530585
1000	50	25	0	0	S22	2000	0.999356722345708	0.001499921186112	0.00146543288229148
1000	75	25	0	0	b.biv	2000	-0.000177062210109218	0.00133573129442678	0.00137159047343582
1000	75	25	0	0	b.uni	2000	-0.000346025559437975	0.00155605015195516	0.00160659360705311
1000	75	25	0	0	a	2000	-0.000157529325722862	0.00116280588122575	0.00122976651200706
1000	75	25	0	0	S11	2000	1.00398522709226	0.00185779497901865	0.00156491309692508
1000	75	25	0	0	S12	2000	0.753526241137399	0.00129063132763736	0.000912724237984637
1000	75	25	0	0	S22	2000	1.0021661970809	0.00150739862158336	0.00102091758646826
1000	0	25	25	0	b.biv	2000	-5.73947378575968e-05	0.00102198692320567	0.00102949382759384
1000	0	25	25	0	b.uni	2000	-5.03832955447818e-05	0.00102695672443439	0.00102876531801872
1000	0	25	25	0	a	2000	-0.00190864724382256	0.00102310439804109	0.00102469657212396
1000	0	25	25	0	S11	2000	0.996522531474704	0.00132575858180141	0.00113327469051854
1000	0	25	25	0	S12	2000	0.000990682227400692	0.000994715089146796	0.000701743950557619
1000	0	25	25	0	S22	2000	0.998461270366156	0.00133091693581515	0.00117487739715692
1000	25	25	25	0	b.biv	2000	-0.000433996693086348	0.00100209688823486	0.000907909881470905
1000	25	25	25	0	b.uni	2000	-0.000489673798657733	0.00102183670383	0.000922199265887201
1000	25	25	25	0	a	2000	-0.00137004953509965	0.0010023870228282	0.00104224311362006
1000	25	25	25	0	S11	2000	0.992650747472242	0.00131427241007778	0.00125383747599419
1000	25	25	25	0	S12	2000	0.253070618969793	0.000966800119714331	0.000907571438314601
1000	25	25	25	0	S22	2000	0.993697081686498	0.00131707296131423	0.00128611306598242
1000	50	25	25	0	b.biv	2000	-0.000682842734434364	0.000962598811228362	0.000898297468354618
1000	50	25	25	0	b.uni	2000	-0.000464161569692793	0.00102547889779674	0.000943878631738833
1000	50	25	25	0	a	2000	-0.000356362651721029	0.000958762246558919	0.000945228620873394
1000	50	25	25	0	S11	2000	0.9977191840759	0.00131027734972883	0.00105489632612511
1000	50	25	25	0	S12	2000	0.495373908804437	0.000934677118538072	0.000825223633407626
1000	50	25	25	0	S22	2000	0.993636207785859	0.00129965169872187	0.00109337298503578
1000	75	25	25	0	b.biv	2000	-0.00103030715158899	0.000883776026407604	0.000921890801797039
1000	75	25	25	0	b.uni	2000	-0.00102230644073466	0.00102519604733789	0.00107758583749589
1000	75	25	25	0	a	2000	0.000229425392668791	0.000883228194281501	0.000879097860284729
1000	75	25	25	0	S11	2000	0.995763348030563	0.00122702274146458	0.000955354605411395
1000	75	25	25	0	S12	2000	0.746018490650472	0.000923103977880049	0.000787400773830335
