rho	mt	ms	pve	alpha	power
0	0	0	0.1	0.05	0.15
0	0	0	0.1	0.001	0.005
0	0	0	0.1	1e-05	0
0	0	0	0.2	0.05	0.245
0	0	0	0.2	0.001	0.035
0	0	0	0.2	1e-05	0.005
0	0	0	0.3	0.05	0.37
0	0	0	0.3	0.001	0.055
0	0	0	0.3	1e-05	0.015
0	0	0	0.4	0.05	0.555
0	0	0	0.4	0.001	0.12
0	0	0	0.4	1e-05	0.01
0	0	0	0.5	0.05	0.58
0	0	0	0.5	0.001	0.115
0	0	0	0.5	1e-05	0.01
0	0	0	0.6	0.05	0.555
0	0	0	0.6	0.001	0.16
0	0	0	0.6	1e-05	0.03
0	0	0	0.7	0.05	0.625
0	0	0	0.7	0.001	0.215
0	0	0	0.7	1e-05	0.025
0	0	0	0.8	0.05	0.755
0	0	0	0.8	0.001	0.265
0	0	0	0.8	1e-05	0.045
0	0	0	0.9	0.05	0.815
0	0	0	0.9	0.001	0.305
0	0	0	0.9	1e-05	0.085
0	0	0	1	0.05	0.86
0	0	0	1	0.001	0.415
0	0	0	1	1e-05	0.08
25	0	0	0.1	0.05	0.105
25	0	0	0.1	0.001	0.005
25	0	0	0.1	1e-05	0
25	0	0	0.2	0.05	0.245
25	0	0	0.2	0.001	0
25	0	0	0.2	1e-05	0
25	0	0	0.3	0.05	0.38
25	0	0	0.3	0.001	0.045
25	0	0	0.3	1e-05	0.005
25	0	0	0.4	0.05	0.485
25	0	0	0.4	0.001	0.065
25	0	0	0.4	1e-05	0
25	0	0	0.5	0.05	0.47
25	0	0	0.5	0.001	0.135
25	0	0	0.5	1e-05	0.02
25	0	0	0.6	0.05	0.63
25	0	0	0.6	0.001	0.11
25	0	0	0.6	1e-05	0.005
25	0	0	0.7	0.05	0.65
25	0	0	0.7	0.001	0.225
25	0	0	0.7	1e-05	0.045
25	0	0	0.8	0.05	0.76
25	0	0	0.8	0.001	0.24
25	0	0	0.8	1e-05	0.055
25	0	0	0.9	0.05	0.775
25	0	0	0.9	0.001	0.34
25	0	0	0.9	1e-05	0.065
25	0	0	1	0.05	0.795
25	0	0	1	0.001	0.325
25	0	0	1	1e-05	0.07
50	0	0	0.1	0.05	0.19
50	0	0	0.1	0.001	0
50	0	0	0.1	1e-05	0
50	0	0	0.2	0.05	0.25
50	0	0	0.2	0.001	0.04
50	0	0	0.2	1e-05	0
50	0	0	0.3	0.05	0.31
50	0	0	0.3	0.001	0.05
50	0	0	0.3	1e-05	0.005
50	0	0	0.4	0.05	0.455
50	0	0	0.4	0.001	0.08
50	0	0	0.4	1e-05	0
50	0	0	0.5	0.05	0.6
50	0	0	0.5	0.001	0.09
50	0	0	0.5	1e-05	0.01
50	0	0	0.6	0.05	0.6
50	0	0	0.6	0.001	0.17
50	0	0	0.6	1e-05	0.005
50	0	0	0.7	0.05	0.7
50	0	0	0.7	0.001	0.245
50	0	0	0.7	1e-05	0.025
50	0	0	0.8	0.05	0.825
50	0	0	0.8	0.001	0.29
50	0	0	0.8	1e-05	0.07
50	0	0	0.9	0.05	0.785
50	0	0	0.9	0.001	0.345
50	0	0	0.9	1e-05	0.08
50	0	0	1	0.05	0.82
50	0	0	1	0.001	0.39
50	0	0	1	1e-05	0.07
75	0	0	0.1	0.05	0.16
75	0	0	0.1	0.001	0.02
75	0	0	0.1	1e-05	0
75	0	0	0.2	0.05	0.26
75	0	0	0.2	0.001	0.02
75	0	0	0.2	1e-05	0
75	0	0	0.3	0.05	0.3
75	0	0	0.3	0.001	0.02
75	0	0	0.3	1e-05	0
75	0	0	0.4	0.05	0.495
75	0	0	0.4	0.001	0.105
75	0	0	0.4	1e-05	0.01
75	0	0	0.5	0.05	0.51
75	0	0	0.5	0.001	0.115
75	0	0	0.5	1e-05	0.005
75	0	0	0.6	0.05	0.68
75	0	0	0.6	0.001	0.15
75	0	0	0.6	1e-05	0.005
75	0	0	0.7	0.05	0.64
75	0	0	0.7	0.001	0.17
75	0	0	0.7	1e-05	0.02
75	0	0	0.8	0.05	0.76
75	0	0	0.8	0.001	0.33
75	0	0	0.8	1e-05	0.06
75	0	0	0.9	0.05	0.8
75	0	0	0.9	0.001	0.315
75	0	0	0.9	1e-05	0.045
75	0	0	1	0.05	0.87
75	0	0	1	0.001	0.395
75	0	0	1	1e-05	0.08
0	25	0	0.1	0.05	0.265
0	25	0	0.1	0.001	0.03
0	25	0	0.1	1e-05	0
0	25	0	0.2	0.05	0.29
0	25	0	0.2	0.001	0.01
0	25	0	0.2	1e-05	0
0	25	0	0.3	0.05	0.41
0	25	0	0.3	0.001	0.06
0	25	0	0.3	1e-05	0
0	25	0	0.4	0.05	0.505
0	25	0	0.4	0.001	0.11
0	25	0	0.4	1e-05	0
0	25	0	0.5	0.05	0.585
0	25	0	0.5	0.001	0.13
0	25	0	0.5	1e-05	0.025
0	25	0	0.6	0.05	0.59
0	25	0	0.6	0.001	0.16
0	25	0	0.6	1e-05	0.025
0	25	0	0.7	0.05	0.685
0	25	0	0.7	0.001	0.185
0	25	0	0.7	1e-05	0.035
0	25	0	0.8	0.05	0.815
0	25	0	0.8	0.001	0.295
0	25	0	0.8	1e-05	0.055
0	25	0	0.9	0.05	0.73
0	25	0	0.9	0.001	0.28
0	25	0	0.9	1e-05	0.055
0	25	0	1	0.05	0.845
0	25	0	1	0.001	0.435
0	25	0	1	1e-05	0.055
25	25	0	0.1	0.05	0.17
25	25	0	0.1	0.001	0.005
25	25	0	0.1	1e-05	0
25	25	0	0.2	0.05	0.245
25	25	0	0.2	0.001	0.03
25	25	0	0.2	1e-05	0.005
25	25	0	0.3	0.05	0.375
25	25	0	0.3	0.001	0.065
25	25	0	0.3	1e-05	0
25	25	0	0.4	0.05	0.435
25	25	0	0.4	0.001	0.12
25	25	0	0.4	1e-05	0.005
25	25	0	0.5	0.05	0.54
25	25	0	0.5	0.001	0.125
25	25	0	0.5	1e-05	0.03
25	25	0	0.6	0.05	0.64
25	25	0	0.6	0.001	0.145
25	25	0	0.6	1e-05	0.005
25	25	0	0.7	0.05	0.655
25	25	0	0.7	0.001	0.21
25	25	0	0.7	1e-05	0.035
25	25	0	0.8	0.05	0.79
25	25	0	0.8	0.001	0.265
25	25	0	0.8	1e-05	0.04
25	25	0	0.9	0.05	0.845
25	25	0	0.9	0.001	0.34
25	25	0	0.9	1e-05	0.055
25	25	0	1	0.05	0.88
25	25	0	1	0.001	0.44
25	25	0	1	1e-05	0.085
