rho	mt	ms	EmpirialRE	ExpectedRE
0	0	0	1	1
0	0	0	1	1
0	0	0	1	1
0	0	0	1	1
0	0	0	1	1
0	0	0	1	1
0	0	0	1	1
0	0	0	1	1
0	0	0	1	1
0	0	0	1	1
0.25	0	0	1	1
0.25	0	0	0.999999999999992	1
0.25	0	0	1.00000000000001	1
0.25	0	0	1	1
0.25	0	0	1	1
0.25	0	0	1	1
0.25	0	0	1	1
0.25	0	0	1	1
0.25	0	0	1	1
0.25	0	0	1	1
0.5	0	0	1	1
0.5	0	0	1	1
0.5	0	0	1	1
0.5	0	0	1	1
0.5	0	0	1	1
0.5	0	0	1	1
0.5	0	0	1	1
0.5	0	0	1	1
0.5	0	0	1	1
0.5	0	0	1	1
0.75	0	0	1	1
0.75	0	0	1	1
0.75	0	0	1	1
0.75	0	0	1	1
0.75	0	0	1	1
0.75	0	0	1	1
0.75	0	0	1	1
0.75	0	0	1	1
0.75	0	0	1	1
0.75	0	0	1	1
0	0.25	0	0.997785807749303	1
0	0.25	0	1.00240895344524	1
0	0.25	0	1.00228707353947	1
0	0.25	0	0.99601511807759	1
0	0.25	0	0.997333065521698	1
0	0.25	0	1.00253948940904	1
0	0.25	0	0.99933162448919	1
0	0.25	0	1.00225650739415	1
0	0.25	0	0.999662629621856	1
0	0.25	0	1.00132829425584	1
0.25	0.25	0	1.05265620185124	1.01587301587302
0.25	0.25	0	0.986274094664326	1.01587301587302
0.25	0.25	0	1.0292752082012	1.01587301587302
0.25	0.25	0	1.02451271143176	1.01587301587302
0.25	0.25	0	0.99979783133727	1.01587301587302
0.25	0.25	0	1.00795170852247	1.01587301587302
0.25	0.25	0	1.00201371756782	1.01587301587302
0.25	0.25	0	1.01600508103385	1.01587301587302
0.25	0.25	0	0.998364563179137	1.01587301587302
0.25	0.25	0	1.0868113165177	1.01587301587302
0.5	0.25	0	1.08749359293435	1.06666666666667
0.5	0.25	0	1.07863026460036	1.06666666666667
0.5	0.25	0	1.06005821844685	1.06666666666667
0.5	0.25	0	0.958815559854361	1.06666666666667
0.5	0.25	0	1.05583424703787	1.06666666666667
0.5	0.25	0	1.07992546777791	1.06666666666667
0.5	0.25	0	1.07432801606295	1.06666666666667
0.5	0.25	0	1.06723615031356	1.06666666666667
0.5	0.25	0	1.10124568248203	1.06666666666667
0.5	0.25	0	1.05066578961172	1.06666666666667
0.75	0.25	0	1.16022727599956	1.16363636363636
0.75	0.25	0	1.24655379639706	1.16363636363636
0.75	0.25	0	1.24207824155533	1.16363636363636
0.75	0.25	0	1.20967100897554	1.16363636363636
0.75	0.25	0	1.14310940023017	1.16363636363636
0.75	0.25	0	1.17529249937066	1.16363636363636
0.75	0.25	0	1.20172840654905	1.16363636363636
0.75	0.25	0	1.17425976519933	1.16363636363636
0.75	0.25	0	1.26312901638637	1.16363636363636
0.75	0.25	0	1.24561412685064	1.16363636363636
0	0.25	0.25	0.998574280990738	1
0	0.25	0.25	0.998522787441772	1
0	0.25	0.25	0.998902283085012	1
0	0.25	0.25	0.998645724289015	1
0	0.25	0.25	0.996981031736484	1
0	0.25	0.25	0.996245029608709	1
0	0.25	0.25	1.00006390598799	1
0	0.25	0.25	1.00254943245572	1
0	0.25	0.25	1.00390419121205	1
0	0.25	0.25	0.999415722190029	1
0.25	0.25	0.25	1.01446925008047	1.01418439716312
0.25	0.25	0.25	0.994691783515618	1.01418439716312
0.25	0.25	0.25	1.02722088852392	1.01418439716312
0.25	0.25	0.25	1.02768120090096	1.01418439716312
0.25	0.25	0.25	1.00036358503726	1.01418439716312
0.25	0.25	0.25	1.01188184079631	1.01418439716312
0.25	0.25	0.25	0.98880413400396	1.01418439716312
0.25	0.25	0.25	1.04077685081757	1.01418439716312
0.25	0.25	0.25	1.00852357879495	1.01418439716312
0.25	0.25	0.25	0.996681471424841	1.01418439716312
0.5	0.25	0.25	0.994239823735252	1.06060606060606
0.5	0.25	0.25	1.03523235516313	1.06060606060606
0.5	0.25	0.25	1.02887277474949	1.06060606060606
0.5	0.25	0.25	1.02646123246388	1.06060606060606
0.5	0.25	0.25	0.961431174173681	1.06060606060606
0.5	0.25	0.25	1.12687319283923	1.06060606060606
0.5	0.25	0.25	1.05671424206747	1.06060606060606
0.5	0.25	0.25	1.02424220283024	1.06060606060606
