rho	mt	ms	pve	alpha	power
0	0	0	0	0.05	0.051
0	0	0	0	0.001	0.0015
0	0	0	0	1e-05	0
25	0	0	0	0.05	0.049
25	0	0	0	0.001	0
25	0	0	0	1e-05	0
50	0	0	0	0.05	0.049
50	0	0	0	0.001	0.0015
50	0	0	0	1e-05	0
75	0	0	0	0.05	0.0545
75	0	0	0	0.001	0.0015
75	0	0	0	1e-05	0
0	25	0	0	0.05	0.0515
0	25	0	0	0.001	0.003
0	25	0	0	1e-05	0
25	25	0	0	0.05	0.055
25	25	0	0	0.001	0.001
25	25	0	0	1e-05	0
50	25	0	0	0.05	0.0495
50	25	0	0	0.001	5e-04
50	25	0	0	1e-05	0
75	25	0	0	0.05	0.0515
75	25	0	0	0.001	0.0015
75	25	0	0	1e-05	0
0	25	25	0	0.05	0.053
0	25	25	0	0.001	0.0015
0	25	25	0	1e-05	0
25	25	25	0	0.05	0.042
25	25	25	0	0.001	0
25	25	25	0	1e-05	0
50	25	25	0	0.05	0.046
50	25	25	0	0.001	0.001
50	25	25	0	1e-05	0
75	25	25	0	0.05	0.0565
75	25	25	0	0.001	0.002
75	25	25	0	1e-05	0
0	25	50	0	0.05	0.0535
0	25	50	0	0.001	0.0025
0	25	50	0	1e-05	0
25	25	50	0	0.05	0.0535
25	25	50	0	0.001	0.001
25	25	50	0	1e-05	0
50	25	50	0	0.05	0.05
50	25	50	0	0.001	0
50	25	50	0	1e-05	0
75	25	50	0	0.05	0.049
75	25	50	0	0.001	0.001
75	25	50	0	1e-05	0
0	50	0	0	0.05	0.05
0	50	0	0	0.001	0
0	50	0	0	1e-05	0
25	50	0	0	0.05	0.051
25	50	0	0	0.001	5e-04
25	50	0	0	1e-05	0
50	50	0	0	0.05	0.0575
50	50	0	0	0.001	0.001
50	50	0	0	1e-05	0
75	50	0	0	0.05	0.0535
75	50	0	0	0.001	0.001
75	50	0	0	1e-05	0
0	50	25	0	0.05	0.049
0	50	25	0	0.001	0
0	50	25	0	1e-05	0
25	50	25	0	0.05	0.04
25	50	25	0	0.001	5e-04
25	50	25	0	1e-05	0
50	50	25	0	0.05	0.041
50	50	25	0	0.001	0.002
50	50	25	0	1e-05	0
75	50	25	0	0.05	0.0475
75	50	25	0	0.001	0.002
75	50	25	0	1e-05	0
0	75	0	0	0.05	0.0545
0	75	0	0	0.001	0.001
0	75	0	0	1e-05	0
25	75	0	0	0.05	0.0495
25	75	0	0	0.001	0.002
25	75	0	0	1e-05	0
50	75	0	0	0.05	0.0455
50	75	0	0	0.001	0.0015
50	75	0	0	1e-05	0
75	75	0	0	0.05	0.053
75	75	0	0	0.001	0.0015
75	75	0	0	1e-05	0
