idx mT mS rho pves
1 0.25 0.25 0 0.001
1 0.25 0.25 0 0.002
1 0.25 0.25 0 0.003
1 0.25 0.25 0 0.004
1 0.25 0.25 0 0.005
1 0.25 0.25 0 0.006
1 0.25 0.25 0 0.007
1 0.25 0.25 0 0.008
1 0.25 0.25 0 0.009
1 0.25 0.25 0 0.01
1 0.5 0.25 0 0.001
1 0.5 0.25 0 0.002
1 0.5 0.25 0 0.003
1 0.5 0.25 0 0.004
1 0.5 0.25 0 0.005
1 0.5 0.25 0 0.006
1 0.5 0.25 0 0.007
1 0.5 0.25 0 0.008
1 0.5 0.25 0 0.009
1 0.5 0.25 0 0.01
1 0.25 0.5 0 0.001
1 0.25 0.5 0 0.002
1 0.25 0.5 0 0.003
1 0.25 0.5 0 0.004
1 0.25 0.5 0 0.005
1 0.25 0.5 0 0.006
1 0.25 0.5 0 0.007
1 0.25 0.5 0 0.008
1 0.25 0.5 0 0.009
1 0.25 0.5 0 0.01
1 0.25 0.25 0.25 0.001
1 0.25 0.25 0.25 0.002
1 0.25 0.25 0.25 0.003
1 0.25 0.25 0.25 0.004
1 0.25 0.25 0.25 0.005
1 0.25 0.25 0.25 0.006
1 0.25 0.25 0.25 0.007
1 0.25 0.25 0.25 0.008
1 0.25 0.25 0.25 0.009
1 0.25 0.25 0.25 0.01
1 0.5 0.25 0.25 0.001
1 0.5 0.25 0.25 0.002
1 0.5 0.25 0.25 0.003
1 0.5 0.25 0.25 0.004
1 0.5 0.25 0.25 0.005
1 0.5 0.25 0.25 0.006
1 0.5 0.25 0.25 0.007
1 0.5 0.25 0.25 0.008
1 0.5 0.25 0.25 0.009
1 0.5 0.25 0.25 0.01
1 0.25 0.5 0.25 0.001
1 0.25 0.5 0.25 0.002
1 0.25 0.5 0.25 0.003
1 0.25 0.5 0.25 0.004
1 0.25 0.5 0.25 0.005
1 0.25 0.5 0.25 0.006
1 0.25 0.5 0.25 0.007
1 0.25 0.5 0.25 0.008
1 0.25 0.5 0.25 0.009
1 0.25 0.5 0.25 0.01
1 0.25 0.25 0.5 0.001
1 0.25 0.25 0.5 0.002
1 0.25 0.25 0.5 0.003
1 0.25 0.25 0.5 0.004
1 0.25 0.25 0.5 0.005
1 0.25 0.25 0.5 0.006
1 0.25 0.25 0.5 0.007
1 0.25 0.25 0.5 0.008
1 0.25 0.25 0.5 0.009
1 0.25 0.25 0.5 0.01
1 0.5 0.25 0.5 0.001
1 0.5 0.25 0.5 0.002
1 0.5 0.25 0.5 0.003
1 0.5 0.25 0.5 0.004
1 0.5 0.25 0.5 0.005
1 0.5 0.25 0.5 0.006
1 0.5 0.25 0.5 0.007
1 0.5 0.25 0.5 0.008
1 0.5 0.25 0.5 0.009
1 0.5 0.25 0.5 0.01
1 0.25 0.5 0.5 0.001
1 0.25 0.5 0.5 0.002
1 0.25 0.5 0.5 0.003
1 0.25 0.5 0.5 0.004
1 0.25 0.5 0.5 0.005
1 0.25 0.5 0.5 0.006
1 0.25 0.5 0.5 0.007
1 0.25 0.5 0.5 0.008
1 0.25 0.5 0.5 0.009
1 0.25 0.5 0.5 0.01
1 0.25 0.25 0.75 0.001
1 0.25 0.25 0.75 0.002
1 0.25 0.25 0.75 0.003
1 0.25 0.25 0.75 0.004
1 0.25 0.25 0.75 0.005
1 0.25 0.25 0.75 0.006
1 0.25 0.25 0.75 0.007
1 0.25 0.25 0.75 0.008
1 0.25 0.25 0.75 0.009
1 0.25 0.25 0.75 0.01
1 0.5 0.25 0.75 0.001
1 0.5 0.25 0.75 0.002
1 0.5 0.25 0.75 0.003
1 0.5 0.25 0.75 0.004
1 0.5 0.25 0.75 0.005
1 0.5 0.25 0.75 0.006
1 0.5 0.25 0.75 0.007
1 0.5 0.25 0.75 0.008
1 0.5 0.25 0.75 0.009
1 0.5 0.25 0.75 0.01
1 0.25 0.5 0.75 0.001
1 0.25 0.5 0.75 0.002
1 0.25 0.5 0.75 0.003
1 0.25 0.5 0.75 0.004
1 0.25 0.5 0.75 0.005
1 0.25 0.5 0.75 0.006
1 0.25 0.5 0.75 0.007
1 0.25 0.5 0.75 0.008
1 0.25 0.5 0.75 0.009
1 0.25 0.5 0.75 0.01
