idx	mT	mS	rho
1	0	0	0
2	0	0	0
3	0	0	0
4	0	0	0
5	0	0	0
6	0	0	0
7	0	0	0
8	0	0	0
9	0	0	0
10	0	0	0
1	0.25	0	0
2	0.25	0	0
3	0.25	0	0
4	0.25	0	0
5	0.25	0	0
6	0.25	0	0
7	0.25	0	0
8	0.25	0	0
9	0.25	0	0
10	0.25	0	0
1	0.5	0	0
2	0.5	0	0
3	0.5	0	0
4	0.5	0	0
5	0.5	0	0
6	0.5	0	0
7	0.5	0	0
8	0.5	0	0
9	0.5	0	0
10	0.5	0	0
1	0.75	0	0
2	0.75	0	0
3	0.75	0	0
4	0.75	0	0
5	0.75	0	0
6	0.75	0	0
7	0.75	0	0
8	0.75	0	0
9	0.75	0	0
10	0.75	0	0
1	0	0	0.25
2	0	0	0.25
3	0	0	0.25
4	0	0	0.25
5	0	0	0.25
6	0	0	0.25
7	0	0	0.25
8	0	0	0.25
9	0	0	0.25
10	0	0	0.25
1	0.25	0	0.25
2	0.25	0	0.25
3	0.25	0	0.25
4	0.25	0	0.25
5	0.25	0	0.25
6	0.25	0	0.25
7	0.25	0	0.25
8	0.25	0	0.25
9	0.25	0	0.25
10	0.25	0	0.25
1	0.5	0	0.25
2	0.5	0	0.25
3	0.5	0	0.25
4	0.5	0	0.25
5	0.5	0	0.25
6	0.5	0	0.25
7	0.5	0	0.25
8	0.5	0	0.25
9	0.5	0	0.25
10	0.5	0	0.25
1	0.75	0	0.25
2	0.75	0	0.25
3	0.75	0	0.25
4	0.75	0	0.25
5	0.75	0	0.25
6	0.75	0	0.25
7	0.75	0	0.25
8	0.75	0	0.25
9	0.75	0	0.25
10	0.75	0	0.25
1	0	0	0.5
2	0	0	0.5
3	0	0	0.5
4	0	0	0.5
5	0	0	0.5
6	0	0	0.5
7	0	0	0.5
8	0	0	0.5
9	0	0	0.5
10	0	0	0.5
1	0.25	0	0.5
2	0.25	0	0.5
3	0.25	0	0.5
4	0.25	0	0.5
5	0.25	0	0.5
6	0.25	0	0.5
7	0.25	0	0.5
8	0.25	0	0.5
9	0.25	0	0.5
10	0.25	0	0.5
1	0.5	0	0.5
2	0.5	0	0.5
3	0.5	0	0.5
4	0.5	0	0.5
5	0.5	0	0.5
6	0.5	0	0.5
7	0.5	0	0.5
8	0.5	0	0.5
9	0.5	0	0.5
10	0.5	0	0.5
1	0.75	0	0.5
2	0.75	0	0.5
3	0.75	0	0.5
4	0.75	0	0.5
5	0.75	0	0.5
6	0.75	0	0.5
7	0.75	0	0.5
8	0.75	0	0.5
9	0.75	0	0.5
10	0.75	0	0.5
1	0	0	0.75
2	0	0	0.75
3	0	0	0.75
4	0	0	0.75
5	0	0	0.75
6	0	0	0.75
7	0	0	0.75
8	0	0	0.75
9	0	0	0.75
10	0	0	0.75
1	0.25	0	0.75
2	0.25	0	0.75
3	0.25	0	0.75
4	0.25	0	0.75
5	0.25	0	0.75
6	0.25	0	0.75
7	0.25	0	0.75
8	0.25	0	0.75
9	0.25	0	0.75
10	0.25	0	0.75
1	0.5	0	0.75
2	0.5	0	0.75
3	0.5	0	0.75
4	0.5	0	0.75
5	0.5	0	0.75
6	0.5	0	0.75
7	0.5	0	0.75
8	0.5	0	0.75
9	0.5	0	0.75
10	0.5	0	0.75
1	0.75	0	0.75
2	0.75	0	0.75
3	0.75	0	0.75
4	0.75	0	0.75
5	0.75	0	0.75
6	0.75	0	0.75
7	0.75	0	0.75
8	0.75	0	0.75
9	0.75	0	0.75
10	0.75	0	0.75
